autoencoder_score,lstm_score,isolation_forest_score,behavioral_score,ensemble_score,agreement_count,is_anomaly,risk_level
0.10419518,0.016421059146523476,0.5526614204347571,0.2682151604242753,0.19215918803882925,1,0,LOW
0.0010557341,0.016873588785529137,0.7281840138068384,0.37795925865102414,0.20776227514097928,1,0,LOW
0.0010621967,0.01821598783135414,0.7848601121411029,0.321001372814734,0.21095879353763158,1,0,LOW
0.0010760004,0.019884714856743813,0.7571122253506035,0.195535880664989,0.18709484175875035,1,0,LOW
0.063379474,0.010221087373793125,0.4761818850734769,0.41658217322291413,0.1829728439871679,0,0,LOW
0.0010908488,0.01819794438779354,0.7026833706679143,0.29404870327966465,0.19048516002831808,1,0,LOW
0.001095337,0.020844532176852226,0.8283609903802351,0.2553717364618868,0.2106146861349783,1,0,LOW
0.0010963483,0.019858378916978836,0.7233632912548262,0.3315612832229516,0.2007480863068802,1,0,LOW
0.010023923,0.00036826400901190937,0.578359675612929,0.17775984938858957,0.14595476466438767,1,0,LOW
0.0010921583,0.01762896589934826,0.7826545986223198,0.39854021630526093,0.22198289732452328,1,0,LOW
0.0010929902,0.01989699713885784,0.7808132035589663,0.3472573523512817,0.21460288924532847,1,0,LOW
0.114896126,0.026794759556651115,0.3344819246867351,0.2161018404970306,0.14756373338344408,0,0,LOW
0.116758764,0.021623602136969566,1.0,0.6786324786324787,0.34914751901745034,2,0,MEDIUM
0.0011165489,0.01999635621905327,0.6972648624312153,0.3618818800552136,0.20012495348025633,1,0,LOW
0.0011317579,0.01337446179240942,0.7262913613982439,0.16771784393101366,0.17482440264673327,1,0,LOW
0.0011327867,0.01804611086845398,0.6870546015662273,0.296405427368301,0.18768204302043068,1,0,LOW
0.0011400844,0.01983785256743431,0.7164657346912314,0.31906819265443387,0.19750376112931023,1,0,LOW
0.0011468703,0.011466579511761665,0.701688475132551,0.3224094451137316,0.1925404902460591,1,0,LOW
0.056277562,0.007156702224165201,0.7109318656956642,0.6193548387096774,0.2569337561030503,2,0,LOW
0.00116693,0.018097886815667152,0.7930118851940251,0.3492252700743324,0.21682395908525975,1,0,LOW
0.14913297,0.03200125694274902,0.6225831429283042,0.35321695327994024,0.23929608487363616,1,0,LOW
0.0012054616,0.011674719862639904,0.7738864402236003,0.37338560917590674,0.21470945691614832,1,0,LOW
0.0012019406,0.013213583268225193,0.7916334829509395,0.4285588697053614,0.22699528121921692,1,0,LOW
0.47984326,0.17878444492816925,0.46874723119379336,0.4302410505124998,0.3798660689535922,0,0,MEDIUM
0.017120728,0.0006726594874635339,0.5428003379575081,0.1842396797929456,0.1423900721146448,1,0,LOW
0.012088423,6.627569382544607e-05,0.3671635632133876,0.40397569336468847,0.13827989705492622,0,0,LOW
0.0012508411,0.012725830078125,0.739370014184266,0.21911505319778818,0.18499680420960435,1,0,LOW
0.0012392268,0.017918942496180534,0.7606099131208639,0.36366661725990795,0.212481387341451,1,0,LOW
0.012185062,0.0017359810881316662,0.6927938900166825,0.31933556539576796,0.19124467907746517,1,0,LOW
0.00026128747,0.010067743249237537,0.4484299285115467,0.34933795115147287,0.14519845195883546,0,0,LOW
0.0012615593,0.020961174741387367,0.7432025430775671,0.37044207691623465,0.21093671834144462,1,0,LOW
0.0013000906,0.02276313118636608,0.7762192989870773,0.48375345081601157,0.23509084847103706,1,0,LOW
0.0013039463,0.02102040685713291,0.6931429921000725,0.34987167788134854,0.1978718533410773,1,0,LOW
0.001312979,0.009612534195184708,0.7059117769238237,0.30256358290353363,0.18991019572236184,1,0,LOW
0.00086061616,0.009224722161889076,0.5694615581306492,0.26095087701619013,0.15610357547926867,1,0,LOW
0.0026191084,0.002917300444096327,0.5302494257723003,0.27142545860076017,0.14855558202410393,1,0,LOW
0.15509279,0.03166159614920616,0.4107708627455111,0.3019878215874421,0.1912332998948607,0,0,LOW
0.36575508,0.11768331378698349,0.642404600292706,0.3435680417209759,0.34333540184488015,1,0,MEDIUM
0.020759096,0.000667103158775717,0.5543680001793744,0.21204259596811476,0.15014580410792636,1,0,LOW
0.095996596,0.013718126341700554,0.6446794817271512,0.3790678610326122,0.22351032011188338,1,0,LOW
0.001375463,0.022941626608371735,0.7017896682365562,0.3047297132502733,0.19343129066488404,1,0,LOW
0.39770776,0.1618337482213974,0.5054055502611001,0.23619491774151266,0.32425817935607465,1,0,MEDIUM
0.23449312,0.06057552248239517,0.525362415977991,0.25306877589781523,0.2432780495967214,1,0,LOW
0.0014009963,0.02335425652563572,0.6977597865296088,0.287157848220168,0.19012226022454565,1,0,LOW
0.47346288,0.16158060729503632,0.39184757875128395,0.32986349482655025,0.3420352211022644,0,0,MEDIUM
0.0018791094,0.010046901181340218,0.4561199909661605,0.41985519407066096,0.15787403596068694,0,0,LOW
0.76879215,0.32843196392059326,0.566482788342378,0.3283025701057481,0.5301487737812617,2,0,HIGH
0.30274615,0.08539681136608124,0.5624812191024547,0.29490264370919145,0.28831183520776416,1,0,LOW
0.24244688,0.06223134696483612,0.6117043157019822,0.24345500382230628,0.2623849236574184,1,0,LOW
0.0013903088,0.023786423727869987,0.4001100790610832,0.24345487812396088,0.12416278274906264,0,0,LOW
0.2699448,0.08124781399965286,0.5643448343515975,0.3625772656189185,0.2861105719016129,1,0,LOW
0.0007618751,0.0070023490116000175,0.8350868215574305,0.6210526315789474,0.26254262003137213,2,0,LOW
0.17042567,0.03585603088140488,0.6397577974284374,0.3424098095022365,0.24971882335596735,1,0,LOW
0.0014730002,0.024113809689879417,0.6845843727221281,0.3772629151349558,0.20125600474737163,1,0,LOW
0.053237207,0.000300029554637149,0.5564338095085879,0.20656416134169386,0.16099441787375887,1,0,LOW
0.41572288,0.08224568516016006,0.4670652482525358,0.4138767692374937,0.3256712700091136,0,0,MEDIUM
0.32289252,0.052420079708099365,0.7517336239025036,0.10554453917170678,0.2949168104666854,1,0,LOW
0.18522473,0.016523802652955055,0.29693165497213425,0.26154547402610673,0.16840394950805615,0,0,LOW
0.01650051,0.010233159177005291,0.37296294990111245,0.3495558096361464,0.13587108749572663,0,0,LOW
0.025676155,0.0018944552866742015,0.319325354343997,0.3295897506637504,0.12285852474576237,0,0,LOW
0.0005185206,0.03414762020111084,0.30961307786054293,0.2920216828790855,0.11615163626691094,0,0,LOW
0.072061636,0.0004503402451518923,0.5261915162446191,0.3009419609162391,0.17573627078616105,1,0,LOW
0.19135803,0.017862826585769653,0.29565205677926265,0.2971337406276031,0.17603463087055576,0,0,LOW
0.0016447727,0.05224467068910599,0.7030864673860984,0.1274642322532523,0.17598599997053685,1,0,LOW
0.7535385,0.2062838226556778,0.4073953862136883,0.27217251014302135,0.4479285539491083,1,0,MEDIUM
1.0,0.682009220123291,0.6500136554824472,0.2708341788862566,0.8252306180059508,3,1,CRITICAL
0.00064312504,0.04680567979812622,0.24148232623029675,0.28997021055564765,0.10605879452296918,0,0,LOW
0.30992156,0.04951161891222,0.3897432765340494,0.2599254461227024,0.24026350632407886,0,0,LOW
0.0016796472,0.049770377576351166,0.7094483166152836,0.2331074738835231,0.19237477421537397,1,0,LOW
0.0017084278,0.04847082868218422,0.730064671151895,0.19965341794241243,0.1911001452482466,1,0,LOW
0.072052725,0.0004316034901421517,0.5444479750631059,0.3643028529321698,0.18888295725776527,1,0,LOW
0.0027826147,0.03040478378534317,0.2849254519953066,0.293829638486292,0.11115488640677443,0,0,LOW
0.0011843713,0.035945214331150055,0.49521029865821153,0.18745936617309047,0.13835905891778627,0,0,LOW
0.0702047,0.0004393616982270032,0.36658510584641646,0.29516485845118184,0.14229520258869877,0,0,LOW
0.0017045891,0.05428150296211243,0.6919261792835938,0.09156055098487383,0.16900037556570482,1,0,LOW
0.14566138,0.007606120780110359,0.4017619768160057,0.26691523236673365,0.17365300080578663,0,0,LOW
0.3109854,0.0511767715215683,0.37897356224458356,0.16771191106585462,0.22514941430521368,0,0,LOW
0.0012742893,0.024223504588007927,0.34603656169562047,0.16404760256318393,0.10152750537148848,0,0,LOW
0.07088745,0.004251595586538315,0.34638247725785887,0.19583580955518906,0.12473795217456685,0,0,LOW
0.003706367,0.009231382980942726,0.2892160802280216,0.2369842118689725,0.09745749110778998,0,0,LOW
0.012882886,0.0025531339924782515,0.2671929553715491,0.12154600383874643,0.07694544220005956,0,0,LOW
0.080372475,0.006824145093560219,0.3592975142056396,0.15457773599140506,0.12522377230352363,0,0,LOW
0.00095839787,0.013590410351753235,0.5409980112697297,0.20965324033546828,0.14406015066362343,1,0,LOW
0.15567204,0.02962436154484749,0.5287095647125251,0.29973196371549593,0.21407422897478687,1,0,LOW
0.07063595,0.004830309189856052,0.4290431904506875,0.2108023525170722,0.14360066731659316,0,0,LOW
0.0010592141,0.013035021722316742,0.5174318579375548,0.18453346138220825,0.13544762225314105,1,0,LOW
0.17088401,0.03507667034864426,0.3567564709279043,0.18621354310492505,0.16961573211255848,0,0,LOW
0.0007505376,0.014727164059877396,0.3409444870860874,0.2777187145144881,0.11452754195925802,0,0,LOW
1.0,0.5292655825614929,0.6101499790853052,0.3491260670372757,0.7831785746806358,3,1,CRITICAL
0.0047351466,0.007095156703144312,0.5969544498249885,0.1231087898767867,0.14164305678467265,1,0,LOW
0.6612201,0.23765939474105835,0.535454785007474,0.2116818702164249,0.44156808473149123,2,0,MEDIUM
0.9217165,0.35561761260032654,0.5253065952400651,0.38868395135109934,0.5926499774483479,2,0,HIGH
0.0018297887,0.028153657913208008,0.7301640518265158,0.060357092485079034,0.16417289761772988,1,0,LOW
0.11619964,0.01471855491399765,0.5065388624769778,0.12093234816000499,0.16453306455041475,1,0,LOW
0.06576143,0.001737426733598113,0.31031311020266594,0.3326673766767105,0.1355004577801997,0,0,LOW
0.00084803905,0.047758832573890686,0.5352850514631469,0.15035931208166703,0.1442353705457298,1,0,LOW
0.0018623078,0.05382337421178818,0.7154861128354144,0.319407097190743,0.20780710710811762,1,0,LOW
0.00096549705,0.039780206978321075,0.4175072713377965,0.07035942375948276,0.10632735388923073,0,0,LOW
0.0007343867,0.04323876276612282,0.36722398328652084,0.2709214447548246,0.12731167753938305,0,0,LOW
0.003977739,0.024706890806555748,0.40427472128929176,0.1637825159516931,0.11422659739800092,0,0,LOW
0.023747992,0.008632870391011238,0.2842480685523311,0.23190063104640446,0.10253636641814282,0,0,LOW
0.010877577,0.0157440435141325,0.2755655605199052,0.004544164569860306,0.0643251015338253,0,0,LOW
0.009564884,0.012576872482895851,0.37607859081975115,0.05965061569951618,0.09128408157305613,0,0,LOW
0.19504182,0.028053276240825653,0.5691496331212691,0.19201358299518517,0.21931258036290882,1,0,LOW
0.0010691574,0.018899688497185707,0.6207277316910536,0.24490405625416967,0.16692526641583025,1,0,LOW
0.00084159675,0.015351938083767891,0.46232587205059483,0.26732989068647317,0.13746479828763886,0,0,LOW
0.008215878,0.004250743426382542,0.3525512608269432,0.11468619800308695,0.09186396229591529,0,0,LOW
0.96373844,0.38513070344924927,0.52228760706039,0.15295042122056865,0.5802477322620945,2,0,HIGH
0.32554036,0.09514188766479492,0.477299929409577,0.1912866179012615,0.26663467368267085,0,0,LOW
0.023106469,0.0004055966273881495,0.2956344505617914,0.10059270733300311,0.08242473957442369,0,0,LOW
0.02958019,4.560454544844106e-05,0.37621578016641577,0.34781544363400424,0.13778222090050535,0,0,LOW
0.0012779899,0.020426243543624878,0.32818388576798485,0.004687596245929496,0.07291508613282509,0,0,LOW
0.42190987,0.13801053166389465,0.2695932700511805,0.22751744475080937,0.27711788129281145,0,0,LOW
0.0019666173,0.02302025817334652,0.6856659533810925,0.3065566011653152,0.19071107437070045,1,0,LOW
